translation,language,book,verses,truncated,chrF3,chrF3+,chrF3++,spBLEU,BLEU,copy_chrF3,copy_chrF3+,copy_chrF3++,copy_spBLEU,copy_BLEU,other_chrF3,other_lang
nya,nya,HOS,197,0,39.09,38.91,35.59,11.75,8.59,22.14,21.07,18.49,1.28,0.28,22.14,sna
nya,nya,ISA,1291,0,36.05,35.69,32.41,8.95,6.14,21.29,20.22,17.73,1.18,0.19,21.29,sna
nya,nya,JAS,108,0,45.7,45.56,42.01,16.03,12.26,20.09,19.21,16.82,1.08,0.36,20.09,sna
nya,nya,JDG,618,0,35.49,35.09,31.97,10.61,7.17,23.37,21.69,19.01,2.17,0.32,23.37,sna
nya,nya,JER,1364,0,37.01,36.67,33.39,10.9,7.38,22.98,21.43,18.78,1.98,0.33,22.98,sna
nya,nya,JOB,1070,0,35.31,35.11,31.9,8.51,5.57,19.73,18.97,16.64,1.03,0.17,19.73,sna
nya,nya,JOL,73,0,38.39,38.2,34.94,10.8,8.74,21.57,20.61,18.06,0.97,0.36,21.57,sna
nya,nya,JON,48,0,38.35,37.86,34.66,11.93,8.72,22.31,21.26,18.72,2.67,0.87,22.31,sna
nya,nya,JOS,658,0,35.25,35.0,31.78,9.16,6.28,23.15,21.5,18.91,2.45,1.01,23.15,sna
nya,nya,LAM,154,0,37.12,37.03,33.81,10.01,7.27,21.15,20.28,17.78,0.93,0.22,21.15,sna
nya,nya,LEV,859,0,34.71,34.4,31.24,8.82,6.01,20.93,19.55,17.13,2.61,0.23,20.93,sna
nya,nya,MAL,55,0,41.45,40.93,37.43,14.85,7.73,22.7,21.43,18.79,2.15,0.55,22.7,sna
nya,nya,MIC,105,0,39.31,39.02,35.7,11.25,8.15,22.08,21.04,18.46,1.24,0.35,22.08,sna
nya,nya,MRK,678,0,58.57,58.3,55.18,35.07,28.62,22.68,21.65,19.01,3.02,0.57,22.68,sna
nya,nya,NAM,47,0,33.76,33.38,30.16,6.88,4.44,20.29,19.65,17.26,0.72,0.38,20.29,sna
nya,nya,NEH,405,0,34.46,34.31,31.18,7.42,5.47,24.36,22.73,19.99,2.25,0.74,24.36,sna
nya,nya,NUM,1288,0,36.17,35.91,32.64,9.5,6.27,23.37,21.78,19.11,1.97,0.47,23.37,sna
nya,nya,OBA,21,0,37.41,37.37,34.29,10.47,7.39,24.28,22.9,20.14,1.67,1.21,24.28,sna
nya,nya,PRO,915,0,33.82,33.58,30.56,7.2,5.18,19.03,18.19,15.94,0.36,0.12,19.03,sna
nya,nya,PSA,2460,0,40.86,40.76,37.51,12.58,9.53,20.18,19.46,17.07,0.82,0.17,20.18,sna
nya,nya,RUT,85,0,35.24,34.89,31.83,10.72,7.02,25.03,23.73,20.89,3.52,0.84,25.03,sna
nya,nya,SNG,117,0,33.92,33.62,30.29,6.14,4.8,22.35,21.45,18.81,0.44,0.21,22.35,sna
nya,nya,ZEC,211,0,41.82,41.42,37.91,15.59,9.36,22.81,21.47,18.84,2.58,0.54,22.81,sna
nya,nya,ZEP,53,0,39.25,39.22,35.78,11.37,8.2,22.4,21.38,18.78,1.28,0.56,22.4,sna
nya,nya,[epistles],274,0,46.4,46.34,42.89,16.83,13.67,20.73,19.71,17.29,0.86,0.29,20.73,sna
nya,nya,[OT],23142,0,37.21,36.96,33.72,10.61,7.59,22.8,21.4,18.78,1.97,0.55,22.8,sna
