translation,language,book,verses,truncated,chrF3,chrF3+,chrF3++,spBLEU,BLEU,copy_chrF3,copy_chrF3+,copy_chrF3++,copy_spBLEU,copy_BLEU,other_chrF3,other_lang
nde,nde,EZR,280,0,32.89,31.61,28.27,6.42,3.35,20.66,19.84,17.37,1.76,0.19,21.6,nya
nde,nde,GEN,1533,0,36.79,35.77,32.31,12.74,5.9,19.84,19.15,16.76,2.26,0.31,20.51,nya
nde,nde,HAB,56,0,30.77,29.85,26.59,3.74,1.38,18.14,17.94,15.7,0.51,0.33,20.03,nya
nde,nde,HAG,38,0,36.97,36.09,32.59,11.22,5.4,19.83,19.26,16.87,2.71,1.12,20.28,nya
nde,nde,HOS,197,0,33.77,33.02,29.71,7.23,4.05,17.98,17.9,15.67,1.55,0.37,20.8,nya
nde,nde,ISA,1291,0,32.25,31.41,28.18,6.55,3.47,17.99,17.77,15.55,1.16,0.22,20.35,nya
nde,nde,JAS,108,0,40.78,40.13,36.59,12.29,6.84,17.18,17.03,14.9,0.89,0.28,19.08,nya
nde,nde,JDG,618,0,34.45,33.35,29.94,9.06,4.17,20.2,19.42,16.99,3.29,0.35,21.85,nya
nde,nde,JER,1364,0,33.23,32.25,28.94,7.41,3.74,19.34,18.7,16.37,1.89,0.32,21.05,nya
nde,nde,JOB,1070,0,32.36,31.79,28.6,5.29,3.33,16.46,16.44,14.39,0.59,0.1,18.64,nya
nde,nde,JOL,73,0,34.95,34.12,30.77,8.93,6.38,17.55,17.47,15.29,0.69,0.39,20.53,nya
nde,nde,JON,48,0,33.37,32.53,29.39,8.87,4.16,17.72,17.29,15.13,1.48,0.72,19.68,nya
nde,nde,JOS,658,0,31.51,30.44,27.19,6.9,2.84,20.23,19.49,17.1,2.12,0.24,21.3,nya
nde,nde,LAM,154,0,30.95,30.21,27.05,5.25,1.99,16.9,17.03,14.9,0.48,0.23,19.23,nya
nde,nde,LEV,859,0,31.69,30.49,27.24,6.65,2.43,17.47,16.71,14.62,0.86,0.25,19.23,nya
nde,nde,MAL,55,0,33.11,32.3,28.93,7.91,2.89,17.89,17.41,15.24,1.88,0.77,20.79,nya
nde,nde,MIC,105,0,34.46,33.69,30.35,8.48,3.93,18.17,17.98,15.73,0.77,0.28,20.95,nya
nde,nde,MRK,678,0,55.39,54.68,51.16,32.76,23.53,18.37,17.87,15.64,2.33,0.63,19.79,nya
nde,nde,NAM,47,0,27.49,27.04,24.23,4.56,1.76,17.75,17.8,15.58,0.73,0.43,19.84,nya
nde,nde,NEH,405,0,31.61,30.65,27.38,6.37,2.43,20.74,20.21,17.7,2.03,0.51,22.05,nya
nde,nde,NUM,1288,0,32.43,31.15,27.83,8.0,2.89,19.28,18.46,16.15,1.83,0.24,19.92,nya
nde,nde,OBA,21,0,29.82,29.38,26.26,6.31,3.18,18.04,17.82,15.59,0.94,0.58,21.36,nya
nde,nde,PRO,915,0,32.38,31.89,28.73,4.98,3.41,16.01,16.09,14.08,0.21,0.12,17.8,nya
nde,nde,PSA,2460,0,35.15,34.56,31.2,7.52,4.45,16.06,16.33,14.29,0.57,0.15,18.15,nya
nde,nde,RUT,85,0,30.03,29.27,26.24,8.08,3.28,19.75,19.12,16.73,2.24,0.63,21.87,nya
nde,nde,SNG,117,0,27.66,26.94,23.91,3.34,0.95,18.6,18.49,16.19,1.25,0.2,20.92,nya
nde,nde,ZEC,211,0,35.52,34.48,31.06,10.96,6.04,18.45,17.84,15.61,2.18,0.57,20.72,nya
