book,verses_syn,copy,ms8,base,verses_nllb,nllb,run,target,score_src,delta,verdict
NUM,1288,16.59,24.8,26.07,1288,40.5,devanagari_drafting_mar,mar,store,-15.7,lose
OBA,21,16.58,27.33,27.55,21,46.96,devanagari_drafting_mar,mar,store,-19.63,lose
PRO,915,14.74,24.5,25.49,915,37.95,devanagari_drafting_mar,mar,store,-13.45,lose
PSA,2460,15.22,28.51,29.49,2460,43.78,devanagari_drafting_mar,mar,store,-15.27,lose
RUT,85,15.57,28.65,29.85,85,44.28,devanagari_drafting_mar,mar,store,-15.63,lose
SNG,117,13.92,23.67,25.52,117,38.03,devanagari_drafting_mar,mar,store,-14.36,lose
ZEC,211,15.91,25.98,27.25,211,40.53,devanagari_drafting_mar,mar,store,-14.55,lose
ZEP,53,16.23,27.7,28.66,53,44.35,devanagari_drafting_mar,mar,store,-16.65,lose
1PE,105,21.58,45.57,43.68,105,55.25,devanagari_gapfill_hne,hne,store,-9.68,lose
2PE,61,19.22,44.66,42.27,61,53.78,devanagari_gapfill_hne,hne,store,-9.12,lose
GEN,250,23.64,53.79,53.85,250,61.54,devanagari_gapfill_hne,hne,store,-7.75,lose
JAS,108,20.54,51.17,47.24,108,55.42,devanagari_gapfill_hne,hne,store,-4.25,lose
MRK,678,19.83,57.65,57.64,678,68.24,devanagari_gapfill_hne,hne,store,-10.59,lose
1PE,103,17.66,38.64,36.05,103,51.92,devanagari_gapfill_mar,mar,store,-13.28,lose
2PE,61,16.48,36.07,34.72,61,47.95,devanagari_gapfill_mar,mar,store,-11.88,lose
GEN,250,16.88,39.95,39.73,250,50.92,devanagari_gapfill_mar,mar,store,-10.97,lose
JAS,108,17.3,37.79,35.84,108,48.65,devanagari_gapfill_mar,mar,store,-10.86,lose
MRK,673,14.92,47.06,45.78,673,56.19,devanagari_gapfill_mar,mar,store,-9.13,lose
1CH,938,13.29,17.28,15.58,938,31.29,ethiopic_drafting_gmv,gmve,store,-14.01,lose
1KI,816,15.27,20.54,18.23,816,38.21,ethiopic_drafting_gmv,gmve,store,-17.67,lose
1PE,105,10.6,26.62,22.5,103,33.31,ethiopic_drafting_gmv,gmve,store,-6.69,lose
1SA,810,11.89,19.33,18.17,810,31.63,ethiopic_drafting_gmv,gmve,store,-12.3,lose
2CH,821,14.89,20.27,18.58,821,39.16,ethiopic_drafting_gmv,gmve,store,-18.89,lose
2KI,719,11.88,18.12,17.18,719,30.55,ethiopic_drafting_gmv,gmve,store,-12.43,lose
2PE,61,11.31,24.2,19.54,61,28.5,ethiopic_drafting_gmv,gmve,store,-4.3,lose
2SA,694,11.45,17.65,16.7,694,29.47,ethiopic_drafting_gmv,gmve,store,-11.82,lose
AMO,146,13.11,19.99,18.0,146,30.63,ethiopic_drafting_gmv,gmve,store,-10.64,lose
DAN,357,12.1,18.43,16.5,357,31.26,ethiopic_drafting_gmv,gmve,store,-12.83,lose
DEU,957,12.1,19.41,17.93,957,30.25,ethiopic_drafting_gmv,gmve,store,-10.84,lose
